bone,gender,type,probability,sensitivity,specificity
femur,female,sd,0.0000076,1,0.745
femur,female,sd,0.000009,1,0.735
femur,female,sd,0.0000113,1,0.725
femur,female,sd,0.0000151,1,0.716
femur,female,sd,0.0000182,1,0.706
femur,female,sd,0.0000193,1,0.696
femur,female,sd,0.0000201,1,0.686
femur,female,sd,0.0000241,1,0.676
femur,female,sd,0.0000325,1,0.667
femur,female,sd,0.0000405,1,0.657
femur,female,sd,0.0000488,1,0.647
femur,female,sd,0.0000545,1,0.637
femur,female,sd,0.0002539,1,0.627
femur,female,sd,0.0004659,1,0.618
femur,female,sd,0.0004895,1,0.608
femur,female,sd,0.0005057,1,0.598
femur,female,sd,0.0005184,1,0.588
femur,female,sd,0.0007275,1,0.578
femur,female,sd,0.0009434,1,0.569
femur,female,sd,0.000984,1,0.559
femur,female,sd,0.0010905,1,0.549
femur,female,sd,0.0016577,1,0.539
femur,female,sd,0.0022534,1,0.529
femur,female,sd,0.0024024,1,0.52
femur,female,sd,0.003199,1,0.51
femur,female,sd,0.0039877,1,0.5
femur,female,sd,0.0046806,1,0.49
femur,female,sd,0.0056846,1,0.48
femur,female,sd,0.0069117,1,0.471
femur,female,sd,0.0079952,1,0.461
femur,female,sd,0.0082173,1,0.451
femur,female,sd,0.0084825,1,0.441
femur,female,sd,0.0089731,1,0.431
femur,female,sd,0.0095157,1,0.422
femur,female,sd,0.012084,1,0.412
femur,female,sd,0.0154132,1,0.402
femur,female,sd,0.017346,1,0.392
femur,female,sd,0.0184317,1,0.382
femur,female,sd,0.021022,1,0.373
femur,female,sd,0.0238329,1,0.363
femur,female,sd,0.0249374,1,0.353
femur,female,sd,0.0279831,1,0.343
femur,female,sd,0.0334243,1,0.333
femur,female,sd,0.0451414,1,0.324
femur,female,sd,0.0537993,1,0.314
femur,female,sd,0.0564029,1,0.304
femur,female,sd,0.0600365,1,0.294
femur,female,sd,0.0613076,1,0.284
femur,female,sd,0.0654109,1,0.275
femur,female,sd,0.0743639,1,0.265
femur,female,sd,0.0807128,0.979,0.265
femur,female,sd,0.0821244,0.957,0.265
femur,female,sd,0.0943738,0.957,0.255
femur,female,sd,0.107034,0.957,0.245
femur,female,sd,0.1090558,0.957,0.235
femur,female,sd,0.1192175,0.957,0.225
femur,female,sd,0.1285661,0.957,0.216
femur,female,sd,0.1595156,0.957,0.206
femur,female,sd,0.1975773,0.957,0.196
femur,female,sd,0.2066054,0.957,0.186
femur,female,sd,0.2120999,0.936,0.186
femur,female,sd,0.2168435,0.936,0.176
femur,female,sd,0.222206,0.915,0.176
femur,female,sd,0.2286335,0.894,0.176
femur,female,sd,0.2351704,0.894,0.167
femur,female,sd,0.2434534,0.894,0.157
femur,female,sd,0.2504713,0.894,0.147
femur,female,sd,0.2775875,0.872,0.147
femur,female,sd,0.3036458,0.851,0.147
femur,female,sd,0.3089896,0.851,0.137
femur,female,sd,0.3322871,0.851,0.127
femur,female,sd,0.376211,0.851,0.118
femur,female,sd,0.4015333,0.851,0.108
femur,female,sd,0.4069306,0.851,0.098
femur,female,sd,0.4146942,0.851,0.088
femur,female,sd,0.4204745,0.851,0.078
femur,female,sd,0.4684407,0.851,0.069
femur,female,sd,0.5188207,0.851,0.059
femur,female,sd,0.5495493,0.851,0.049
femur,female,sd,0.5794671,0.83,0.049
femur,female,sd,0.583157,0.83,0.039
femur,female,sd,0.6153394,0.809,0.039
femur,female,sd,0.6546839,0.809,0.029
femur,female,sd,0.6874197,0.809,0.02
femur,female,sd,0.7213722,0.787,0.02
femur,female,sd,0.7400914,0.766,0.02
femur,female,sd,0.7599171,0.745,0.02
